experiment,model,split,accuracy,macro_f1,auc_ovr
exp01_resnet,resnet,test,0.9955898566703418,0.9956067021315094,0.9999981903727831
exp02_vit,vit,test,0.9933847850055126,0.9933959098572278,0.9998943529494538
exp03_resvit,resvit,test,1.0,1.0,1.0
exp02_vit,vit,val,0.9955898566703418,0.9955949781734637,0.9999288610796588
exp01_resnet,resnet,val,0.9988974641675854,0.9989015950396248,1.0
exp03_resvit,resvit,val,1.0,1.0,1.0
